page,title,price,location,size_m2,url
1,Lovely apartment for rent in Nouvelle Medina. Small area 100...,600 TND,Nouvelle Medina,"100
						m²",N/A
1,Very nice apartment for rent in Ain Zaghouan Nord. 2 rooms...,"1,450 TND",La Marsa,"110
						m²",N/A
1,Apartment for rent in Ain Zaghouan Nord. 2 rooms. Furnished,"2,500 TND",La Marsa,2 Rooms,N/A
1,A furnished one-bedroom apartment in La Marsa,"2,000 TND",La Marsa,1 Room,N/A
1,Very nice apartment for rent in La Marsa. 3 rooms. Cellar,"3,800 TND",La Marsa,3 Rooms,N/A
1,Very nice apartment for rent in Chotrana 1.1 room. Caretaker...,"1,100 TND",La Soukra,"33
						m²",N/A
1,Apartment for rent in Chotrana 1. Small area 44 m². General...,"1,150 TND",La Soukra,"44
						m²",N/A
1,Résidence MY HOUSE 1,Price on request,La Soukra,Completed,N/A
1,Flat for rent in La Marsa. Area 150 m². Ample storage space,Price on request,La Marsa,"150
						m²",N/A
1,Flat for rent in La Marsa. 1 lovely room. Fully furnished,Price on request,La Marsa,"70
						m²",N/A
1,Flat for rent in La Marsa. 1 room. Cellar,"2,500 TND",La Marsa,"500
						m²",N/A
1,Find an apartment for rent in Gammarth. 3 comfortable rooms...,"7,000 TND",La Marsa,3 Rooms,N/A
1,Great apartment for rent in Ain Zaghouan Nord. Small area 20...,"1,600 TND",La Marsa,"200
						m²",N/A
1,Rent this apartment in La Marsa. 4 large living areas. With...,"4,500 TND",La Marsa,"200
						m²",N/A
1,Apartment for rent in Les Jardins de Carthage. Area of 200 m...,"3,500 TND",Le Kram,"200
						m²",N/A
1,Rent an apartment in Les Jardins de Carthage. Area 1 m². Wel...,"2,300 TND",Le Kram,1 Room,N/A
1,Rent this apartment in Les Jardins de Carthage. Dimension 1...,"2,500 TND",Le Kram,2 Rooms,N/A
1,Find an apartment for rent in Les Jardins de Carthage. 4 roo...,"3,200 TND",Le Kram,4 Rooms,N/A
1,Lovely apartment for rent in Les Jardins de Carthage. 2 beau...,"1,850 TND",Le Kram,"140
						m²",N/A
1,Flat for rent in La Marsa. Surface area 50 m². Dressing room...,"1,500 TND",La Marsa,"50
						m²",N/A
2,Apartment for rent in Aouina. 2 large rooms. Storage unit,"1,500 TND",La Marsa,"67
						m²",N/A
2,Find an apartment for rent in Les Jardins de Carthage. Area...,"2,400 TND",Le Kram,"130
						m²",N/A
2,Apartment for rent in Les Jardins de Carthage. 3 beautiful r...,"1,900 TND",Le Kram,"167
						m²",N/A
2,Apartment for rent in Les Berges Du Lac 2. Area of 150 m². S...,"2,500 TND",La Marsa,"150
						m²",N/A
2,Great apartment for rent in Les Berges Du Lac 2.3 beautiful...,"3,300 TND",La Marsa,"180
						m²",N/A
2,Apartment to purchase in Les Berges Du Lac 2.1 room. Caretak...,"3,000 TND",La Marsa,"100
						m²",N/A
2,Flat for rent in Les Berges Du Lac 2. Area of 120 m². Attic,"2,800 TND",La Marsa,"120
						m²",N/A
2,Residence Floria - Cité el Ghazela,"From309,900 TND",Raoued,N/A,N/A
2,Lovely apartment for rent in La Marsa. 3 rooms. New furnitur...,"4,500 TND",La Marsa,"150
						m²",N/A
2,Lovely apartment for rent in La Marsa. 5 rooms. Swimming poo...,"7,000 TND",La Marsa,"220
						m²",N/A
2,Apartment for rent in Gammarth. 2 lovely rooms. Dressing roo...,"4,500 TND",La Marsa,"300
						m²",N/A
2,Rent an apartment in La Marsa. 4 large rooms. Furnishings,"7,500 TND",La Marsa,"250
						m²",N/A
2,Apartment for rent in La Marsa. 5 comfortable rooms. Well fu...,"6,000 TND",La Marsa,"220
						m²",N/A
2,Flat for rent in La Marsa. 2 rooms. Well furnished,"1,900 TND",La Marsa,"65
						m²",N/A
2,Very nice apartment for rent in La Marsa. Total area 120 m²...,"3,500 TND",La Marsa,"120
						m²",N/A
2,Find an apartment for rent in Sidi El Mahrsi. Small area 100...,"1,300 TND",Nabeul,"120
						m²",N/A
2,Triplex S4 with garden in Ain Zaghouan North,"4,000 TND",La Marsa,"320
						m²",N/A
2,Rent an apartment in Sidi Daoued. 4 large rooms. Storage uni...,"5,500 TND",La Marsa,"160
						m²",N/A
2,Rent this apartment in La Marsa. Total area 150 m². With lif...,"3,800 TND",La Marsa,"150
						m²",N/A
2,Great apartment for rent in La Soukra. 2 lovely rooms. Gener...,"1,250 TND",La Soukra,"109
						m²",N/A
3,Flat for rent in La Marsa. 1 room. Fully equipped kitchen,"2,500 TND",La Marsa,"80
						m²",N/A
3,Very nice apartment for rent in Ain Zaghouan. Large area 60...,900 TND,La Marsa,"60
						m²",N/A
3,Very nice apartment for rent in Les Berges Du Lac 2.3 rooms...,"3,000 TND",La Marsa,"120
						m²",N/A
3,Apartment for rent in Les Jardins de Carthage. 2 rooms. Gard...,"1,600 TND",Le Kram,"80
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2.4 large rooms. Rei...,"7,000 TND",La Marsa,3 Rooms,N/A
3,Very nice apartment for rent in Les Berges Du Lac 2. Large a...,"8,000 TND",La Marsa,3 Rooms,N/A
3,Flat for rent in Les Jardins de Carthage. 2 large living are...,"2,500 TND",Le Kram,"108
						m²",N/A
3,Alma residence,"From180,000 TND",Nouvelle Medina,"Delivery:
									November 2027",N/A
3,Apartment for rent in Ain Zaghouan Nord. 1 room. Beautiful t...,"1,000 TND",La Marsa,"70
						m²",N/A
3,Apartment for rent in Cité Les Pins. 2 rooms. Secured door a...,"1,500 TND",La Marsa,"100
						m²",N/A
3,Great apartment for rent in Bhar Lazreg. 2 comfortable rooms...,"1,300 TND",La Marsa,"65
						m²",N/A
3,Lovely apartment for rent in Les Jardins de Carthage. Large...,"1,500 TND",Le Kram,"65
						m²",N/A
3,Rent this apartment in Les Berges Du Lac 2. Area of 65 m². D...,"1,500 TND",La Marsa,"65
						m²",N/A
3,Lovely apartment for rent in Ain Zaghouan. 3 rooms. Secured...,"2,100 TND",La Marsa,"160
						m²",N/A
3,Rent this apartment in La Soukra. 2 lovely rooms. Lift and p...,"1,450 TND",La Soukra,"130
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2. Dimension 200 m²...,"4,500 TND",La Marsa,"200
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2. Small area 130 m²...,"3,500 TND",La Marsa,"130
						m²",N/A
3,Find an apartment for rent. Dimension 150 m². Storage unit,"1,500 TND",Sousse Jaouhara,"150
						m²",N/A
3,Find an apartment for rent in Mutuelle Ville. Total area 90...,"2,000 TND",El Menzah,"90
						m²",N/A
3,Great apartment for rent in Les Jardins de Carthage. 3 large...,"2,200 TND",Le Kram,"120
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. 1 Living are...,"1,500 TND",Le Kram,"80
						m²",N/A
4,Lovely apartment for rent in La Marsa. 4 large living areas...,"4,000 TND",La Marsa,"160
						m²",N/A
4,Rent an apartment in Les Jardins de Carthage. Small area 80...,"1,300 TND",Le Kram,"80
						m²",N/A
4,For Rent: 3-bedroom apartment with garden in Les Jardins de...,"3,000 TND",Le Kram,"150
						m²",N/A
4,Great apartment for rent in Les Jardins de Carthage. Surface...,"3,200 TND",Le Kram,"180
						m²",N/A
4,Apartment for rent in Les Jardins de Carthage. 2 lovely room...,"2,600 TND",Le Kram,"145
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. Surface area...,"3,100 TND",Le Kram,4 Rooms,N/A
4,RESIDENCE MYRIAM 3 - Carthage Gardens,"From640,000 TND",Le Kram,Completed,N/A
4,Flat for rent in Les Jardins de Carthage. 1 lovely room. Dre...,"2,400 TND",Le Kram,1 Room,N/A
4,Lovely apartment for rent in La Soukra. Total area 81 m². Wi...,"1,200 TND",La Soukra,"81
						m²",N/A
4,Flat for rent in Les Jardins de Carthage. 3 rooms. Double gl...,"2,800 TND",Le Kram,"201
						m²",N/A
4,Apartment for rent in Erriadh. 4 rooms. Furnishings,"3,800 TND",Le Kram,"160
						m²",N/A
4,Apartment for rent in Les Jardins de Carthage. Dimension 140...,"3,000 TND",Le Kram,"140
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. 4 comfortabl...,"2,800 TND",Le Kram,"230
						m²",N/A
4,Apartment for rent in La Marsa. 1 lovely room. Furnishings,"2,000 TND",La Marsa,"50
						m²",N/A
4,Great apartment for rent in Sidi El Mahrsi. Area of 200 m²...,"1,800 TND",Nabeul,"200
						m²",N/A
4,Apartment for rent in La Marsa. 4 large living areas. New fu...,"6,000 TND",La Marsa,3 Rooms,N/A
4,Apartment for rent in Cité Erriadh. 2 large living areas. Ce...,"1,600 TND",La Marsa,"94
						m²",N/A
4,Great apartment for rent in Cité Les Pins. 4 rooms. Carpark...,"3,100 TND",La Marsa,"180
						m²",N/A
4,Apartment for rent in Hammamet Sud. 3 comfortable rooms. New...,"2,300 TND",Hammamet,"130
						m²",N/A
5,Very nice apartment for rent in Les Jardins de Carthage. Sur...,"2,000 TND",Le Kram,2 Rooms,N/A
5,Rent an apartment in Les Jardins de Carthage. Large area 1 m...,"4,300 TND",Le Kram,3 Rooms,N/A
5,Rent this apartment in Les Jardins de Carthage. 1 room. Well...,"2,500 TND",Le Kram,1 Room,N/A
5,Rent this apartment in Les Jardins de Carthage. 3 lovely roo...,"2,100 TND",Le Kram,3 Rooms,N/A
5,Apartment for rent in Gammarth. 3 comfortable rooms. Well de...,"7,500 TND",La Marsa,2 Rooms,N/A
5,Very nice apartment for rent in Les Jardins de Carthage. 4 c...,"3,800 TND",Le Kram,3 Rooms,N/A
5,Lovely apartment for rent in Les Jardins de Carthage. 5 comf...,"3,200 TND",Le Kram,3 Rooms,N/A
5,Alma residence,"From180,000 TND",Nouvelle Medina,"Delivery:
									November 2027",N/A
5,Find an apartment for rent in Sidi Daoued. 1 Living area. We...,"1,900 TND",La Marsa,"70
						m²",N/A
5,Rent an apartment in Les Jardins de Carthage. Total area 1 m...,"2,300 TND",Le Kram,1 Room,N/A
5,Apartment for rent in Les Berges Du Lac 2. Small area 160 m²...,"3,600 TND",La Marsa,"160
						m²",N/A
5,Find an apartment for rent in La Marsa. Area 80 m². Well fur...,"1,500 TND",La Marsa,"80
						m²",N/A
5,Offices for rent in La Perle du Lac 1. Dimension 250 m². The...,"1,500 TND",La Marsa,"75
						m²",N/A
5,Offices for rent in Les Berges Du Lac 1. Dimension 150 m². C...,"2,400 TND",Le Kram,"180
						m²",N/A
5,Apartment for rent. 3 rooms. Dressing room,"4,000 TND",La Marsa,"180
						m²",N/A
5,Rent an apartment in Les Jardins de Carthage. Total area 90...,"1,900 TND",La Marsa,"145
						m²",N/A
5,Rent an apartment in El Menzah 1. 4 large rooms. Gardeners...,"2,600 TND",El Menzah,"238
						m²",N/A
5,Apartment for rent in Les Jardins de Carthage. 2 beautiful r...,"1,600 TND",Le Kram,"100
						m²",N/A
5,Great apartment for rent in La Marsa. Area of 300 m². New fu...,"7,000 TND",La Marsa,"300
						m²",N/A
5,Lovely apartment for rent in La Marsa. 3 rooms. General sate...,"7,000 TND",La Marsa,"180
						m²",N/A
